Date|Title|Artist|Cover Artist
2023-11-03|MONSTER|KIRA|Neuro & Camila
2023-11-23|Call me maybe|Carly Rae Jepsen|Neuro & Akuma Nihmune
2023-12-17|Why Do I|Set It Off|Neuro & Will Stetson
2024-06-26|Rolling Girl|wowaka|Evil & Obkatiekat
2024-10-31|EVIL|Melanie Martinez|Evil & Camila
2025-04-18|Bottom 2|Glorb|Neuro, Evil, Akuma Nihmune, Shylily, Bao the Whale, Camila, LucyPyre
2025-08-19|Mesmerizer|32ki|Neuro & Bao the Whale
2025-12-02|Crazy Fuckin' Robot Body|Snowblood|Evil
2026-02-10|Come Down|Noah Kahan|Evil & Akuma Nihmune
