2025-12-31 | Evil
1 | The Kill | Thirty Seconds to Mars | Evil | New
2 | Quixote | AHUB | Evil | Duplicate
3 | Ignorance | Paramore | Evil | New
4 | Somebody Told Me | The Killers | Evil | New
5 | Again | Crusher | Evil | New
6 | Pray To Me | Mizu | Evil | New
7 | Missing, Missing | Kikuo | Evil | Duplicate
8 | Sugar Pills | I DON'T KNOW HOW BUT THEY FOUND ME | Evil | New
9 | Boulevard of Broken Dreams | Green Day | Evil | New
10 | HOW 2 GET AWAY WITH MURDER | South Arcade | Evil | New
