id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
17,ばかみたい (Baka Mitai),"Mitsuharu Fukuyama, Ryosuke Horii",Baka Mitai,"Mitsuharu Fukuyama, Ryosuke Horii",Neuro [v1],2023-02-07,Neuro [v1] February Stream Songs,5,2023-Feb,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/018. Mitsuharu Fukuyama, Ryosuke Horii - ばかみたい (Baka Mitai) (Neuro.v1).mp3",b14a2e6670ef3c0d,v1;neuro;,,,1
18,"Take Me Home, Country Roads",John Denver,"Take Me Home, Country Roads",John Denver,Neuro [v1],2023-02-09,Neuro [v1] February Stream Songs,6,2023-Feb,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/019. John Denver - Take Me Home, Country Roads (Neuro.v1).mp3",d6c6d73bedc91189,v1;neuro;,,,1
19,Shelter,"Porter Robinson, Madeon",Shelter,"Porter Robinson, Madeon",Neuro [v1],2023-02-10,Neuro [v1] February Stream Songs,7,2023-Feb,"songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/020. Porter Robinson, Madeon - Shelter (Neuro.v1).mp3",6943c9934589e39f,v1;neuro;,,,1
20,KING,Kanaria,KING,Kanaria,Neuro [v1],2023-02-12,Neuro [v1] February Stream Songs,8,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/021. Kanaria - KING (Neuro.v1).mp3,88c10e07d961fa3f,v1;neuro;,,,1
21,フォニイ (phony),Tsumiki,phony,Tsumiki,Neuro [v1],2023-02-13,Neuro [v1] February Stream Songs,9,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/022. Tsumiki - フォニイ (phony) (Neuro.v1).mp3,fb6ab13012e1b97b,v1;neuro;,,,1
22,Careless Whisper,George Michael,Careless Whisper,George Michael,Neuro [v1],2023-02-14,Neuro [v1] February Stream Songs,10,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/023. George Michael - Careless Whisper (Neuro.v1).mp3,1e172570fb656710,v1;neuro;,,,1
23,どりーみんチュチュ (Dreamin Chuchu),emon(Tes.),Dreamin Chuchu,emonTes.,Neuro [v1],2023-02-14,Neuro [v1] February Stream Songs,11,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/024. emon(Tes.) - どりーみんチュチュ (Dreamin Chuchu) (Neuro.v1).mp3,5586f7ff1e944206,v1;neuro;,,,1
24,bad guy,Billie Eilish,bad guy,Billie Eilish,Neuro [v1],2023-02-16,Neuro [v1] February Stream Songs,12,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/025. Billie Eilish - bad guy (Neuro.v1).mp3,b7459a2f687758b2,v1;neuro;,,,1
25,Blue (Da Ba Dee),Eiffel 65,Blue (Da Ba Dee),Eiffel 65,Neuro [v1],2023-02-21,Neuro [v1] February Stream Songs,13,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/026. Eiffel 65 - Blue (Da Ba Dee) (Neuro.v1).mp3,a65aef426abf9c7e,v1;neuro;,,,1
26,ECHO,Crusher,ECHO,Crusher,Neuro [v1],2023-02-22,Neuro [v1] February Stream Songs,14,2023-Feb,songs/unofficialV3/DISC 1 - Humble Beginnings (2023-01-03 - 2023-05-17)/027. Crusher - ECHO (Neuro.v1).mp3,aeec9f0f54eecb42,v1;neuro;,,,1
