id,Song,Artist,Song_ASCII,Artist_ASCII,Cover Artist,Date,Album,Album_ID,Image,File_IN,Hash_IN,Flags,Key,Tempo (1/4 beat),Version
225,オドループ (oddloop),Frederic,oddloop,Frederic,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,3,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/007. Frederic - オドループ (oddloop) (Neuro.v2).mp3,b93fdcdeae4b7f85,v2;neuro;,,,2
226,神っぽいな (God-ish),"DECO*27, PinocchioP",God-ish,"DECO 27, PinocchioP",Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,4,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/008. DECO_27, PinocchioP - 神っぽいな (God-ish) (Neuro.v2).mp3",4bad432fdf2bd1dd,v2;neuro;,,,2
227,PERFECT MACHINE,Starset,PERFECT MACHINE,Starset,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,5,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/009. Starset - PERFECT MACHINE (Neuro.v2).mp3,d9691d154555b97f,v2;neuro;,,,2
228,アイドル (Idol),YOASOBI,Idol,YOASOBI,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,6,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/010. YOASOBI - アイドル (Idol) (Neuro.v2).mp3,b441c0c9b2be18c2,v2;neuro;,,,2
229,Call Me Maybe,Carly Rae Jepsen,Call Me Maybe,Carly Rae Jepsen,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,7,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/011. Carly Rae Jepsen - Call Me Maybe (Neuro.v2).mp3,c7b737347fca7d5c,v2;neuro;,,,2
230,The Wolf,SIAMÉS,The Wolf,SIAMES,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,8,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/012. SIAMÉS - The Wolf (Neuro.v2).mp3,4496033ce4f8d177,v2;neuro;,,,2
231,KARMANATIONS,Akatsuki Records,KARMANATIONS,Akatsuki Records,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,9,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/013. Akatsuki Records - KARMANATIONS (Neuro.v2).mp3,f5ff27a2fcbeb9e7,v2;neuro;,,,2
232,my time,bo en,my time,bo en,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,10,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/014. bo en - my time (Neuro.v2).mp3,49713fafaa4f60f5,v2;neuro;,,,2
233,"Take Me Home, Country Roads",John Denver,"Take Me Home, Country Roads",John Denver,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,11,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/015. John Denver - Take Me Home, Country Roads (Neuro.v2).mp3",53945d991e836224,v2;neuro;,,,2
234,フォニイ (phony),Tsumiki,phony,Tsumiki,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,12,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/016. Tsumiki - フォニイ (phony) (Neuro.v2).mp3,a103cb9cc81f82e3,v2;neuro;,,,2
235,Pompeii,Bastille,Pompeii,Bastille,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,13,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/017. Bastille - Pompeii (Neuro.v2).mp3,eeec8b622fc7c2c2,v2;neuro;,,,2
236,チキチキバンバン (chikichikibanban),QUEENDOM,chikichikibanban,QUEENDOM,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,14,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/018. QUEENDOM - チキチキバンバン (chikichikibanban) (Neuro.v2).mp3,ae825470dd085cfc,v2;neuro;,,,2
237,Blinding Lights,The Weeknd,Blinding Lights,The Weeknd,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,15,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/002. The Weeknd - Blinding Lights (Neuro.v2).mp3,8ce949136c4de8fc,v2;neuro;duplicate;,,,
238,All the Things She Said,t.A.T.u.,All the Things She Said,t.A.T.u.,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,16,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/019. t.A.T.u. - All the Things She Said (Neuro.v2).mp3,fb7e67eb5df7e478,v2;neuro;,,,2
239,Toxic,Britney Spears,Toxic,Britney Spears,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,17,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/020. Britney Spears - Toxic (Neuro.v2).mp3,e06fde556b62a25d,v2;neuro;,,,2
240,ばかみたい (Baka Mitai),"Mitsuharu Fukuyama, Ryosuke Horii",Baka Mitai,"Mitsuharu Fukuyama, Ryosuke Horii",Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,18,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/021. Mitsuharu Fukuyama, Ryosuke Horii - ばかみたい (Baka Mitai) (Neuro.v2).mp3",71b67c9a7dad6698,v2;neuro;,,,2
241,Cupid,FIFTY FIFTY,Cupid,FIFTY FIFTY,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,19,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/022. FIFTY FIFTY - Cupid (Neuro.v2).mp3,577e4081e8b8b4b3,v2;neuro;,,,2
242,すーぱーぬこわーるど (Super Nuko World),Mafumafu,Super Nuko World,Mafumafu,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,20,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/023. Mafumafu - すーぱーぬこわーるど (Super Nuko World) (Neuro.v2).mp3,fa6868868cae38aa,v2;neuro;,,,2
243,うっせぇわ (Usseewa),Ado,Usseewa,Ado,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,21,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/024. Ado - うっせぇわ (Usseewa) (Neuro.v2).mp3,58d87d25776ffb18,v2;neuro;,,,2
244,A Thousand Years,Christina Perri,A Thousand Years,Christina Perri,Neuro [v2],2023-05-31,Neuro [v2] 2023-05-31 Karaoke,22,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/025. Christina Perri - A Thousand Years (Neuro.v2).mp3,5f4ed45168848f38,v2;neuro;,,,2
245,Numbers II,Study-sama,Numbers II,Study-sama,Study-sama,2023-06-02,Neuro-sama ARG,6,study,songs/unofficialV3/Extra Content/DISC 66 - ARG/06. Numbers II.mp3,eed83479c9ab0673,arg;,,,66
246,"ギターと孤独と蒼い惑星 (Guitar, Loneliness and Blue Planet)",kessoku band,"Guitar, Loneliness and Blue Planet",kessoku band,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,1,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/026. kessoku band - ギターと孤独と蒼い惑星 (Guitar, Loneliness and Blue Planet) (Neuro.v2).mp3",00dd19de69928390,v2;neuro;,,,2
247,Believer,Imagine Dragons,Believer,Imagine Dragons,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,2,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/027. Imagine Dragons - Believer (Neuro.v2).mp3,71f6eb0a6eb33a5e,v2;neuro;,,,2
248,ふしぎ・プルプル・プルリン・リン! (Fushigi Purupuru Pururin Rin!),Shinshido Rumi,Fushigi Purupuru Pururin Rin,Shinshido Rumi,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,3,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/028. Shinshido Rumi - ふしぎ・プルプル・プルリン・リン! (Fushigi Purupuru Pururin Rin!) (Neuro.v2).mp3,6af6b03058088fb4,v2;neuro;,,,2
249,Airplanes,"B.o.B, Hayley Williams",Airplanes,"B.o.B, Hayley Williams",Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,4,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/029. B.o.B, Hayley Williams - Airplanes (Neuro.v2).mp3",a0cc53056ae5acbe,v2;neuro;,,,2
250,I Kissed a Girl,Katy Perry,I Kissed a Girl,Katy Perry,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,5,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/030. Katy Perry - I Kissed a Girl (Neuro.v2).mp3,52ffcb09d90dd3e0,v2;neuro;,,,2
251,Fireflies,Owl City,Fireflies,Owl City,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,6,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/031. Owl City - Fireflies (Neuro.v2).mp3,0e3ecc258ed16317,v2;neuro;,,,2
252,Ocean Man,Ween,Ocean Man,Ween,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,7,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/032. Ween - Ocean Man (Neuro.v2).mp3,87e53046597c6ab3,v2;neuro;,,,2
253,The Kill,Thirty Seconds to Mars,The Kill,Thirty Seconds to Mars,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,8,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/033. Thirty Seconds to Mars - The Kill (Neuro.v2).mp3,7c96b2cc61da89d7,v2;neuro;,,,2
254,Can You Feel My Heart,Bring Me the Horizon,Can You Feel My Heart,Bring Me the Horizon,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,9,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/034. Bring Me the Horizon - Can You Feel My Heart (Neuro.v2).mp3,35cbf32b00474918,v2;neuro;,,,2
255,ルカルカ★ナイトフィーバー (Luka Luka★Night Fever),Samfree,Luka Luka Night Fever,Samfree,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,10,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/035. Samfree - ルカルカ★ナイトフィーバー (Luka Luka★Night Fever) (Neuro.v2).mp3,c43cb64e21f93801,v2;neuro;,,,2
256,Enemy,"Imagine Dragons, JID",Enemy,"Imagine Dragons, JID",Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,11,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/036. Imagine Dragons, JID - Enemy (Neuro.v2).mp3",a2ea053522b1f49b,v2;neuro;,,,2
257,Fluorite Eye's Song,Kairi Yagi,Fluorite Eye's Song,Kairi Yagi,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,12,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/037. Kairi Yagi - Fluorite Eye's Song (Neuro.v2).mp3,33b257b187370e1e,v2;neuro;,,,2
258,Gee (JP ver.),Girls' Generation,Gee (JP ver.),Girls Generation,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,13,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/038. Girls' Generation - Gee (JP ver.) (Neuro.v2).mp3,e109b7257be71554,v2;neuro;,,,2
259,愛言葉 (Ai Kotoba),DECO*27,Ai Kotoba,DECO 27,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,14,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/039. DECO_27 - 愛言葉 (Ai Kotoba) (Neuro.v2).mp3,32462ff59d9f1844,v2;neuro;,,,2
260,Revenge,"TryHardNinja, CaptainSparklez",Revenge,"TryHardNinja, CaptainSparklez",Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,15,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/040. TryHardNinja, CaptainSparklez - Revenge (Neuro.v2).mp3",52c2583ca3fee59a,v2;neuro;,,,2
261,KING,Kanaria,KING,Kanaria,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,16,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/041. Kanaria - KING (Neuro.v2).mp3,37874749e0d4bd48,v2;neuro;,,,2
262,ラグトレイン (Lagtrain),inabakumori,Lagtrain,inabakumori,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,17,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/042. inabakumori - ラグトレイン (Lagtrain) (Neuro.v2).mp3,13672cbfe6b16a83,v2;neuro;,,,2
263,I Am Machine,Three Days Grace,I Am Machine,Three Days Grace,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,18,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/043. Three Days Grace - I Am Machine (Neuro.v2).mp3,5f1f77c028229a72,v2;neuro;,,,2
264,モザイクロール (Mozaik Role) (Reloaded),DECO*27,Mozaik Role,DECO 27,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,19,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/044. DECO_27 - モザイクロール (Mozaik Role) (Reloaded) (Neuro.v2).mp3,d078956349ddb6ca,v2;neuro;,,,2
265,Numb,Linkin Park,Numb,Linkin Park,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,20,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/045. Linkin Park - Numb (Neuro.v2).mp3,5e57d48aaa1755fe,v2;neuro;,,,2
266,Moves Like Jagger,"Maroon 5, Christina Aguilera",Moves Like Jagger,"Maroon 5, Christina Aguilera",Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,21,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/046. Maroon 5, Christina Aguilera - Moves Like Jagger (Neuro.v2).mp3",2aca190f0bfa9922,v2;neuro;,,,2
267,Careless Whisper,George Michael,Careless Whisper,George Michael,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,22,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/047. George Michael - Careless Whisper (Neuro.v2).mp3,88d5d2f91a942037,v2;neuro;,,,2
268,unravel,TK from Ling tosite sigure,unravel,TK from Ling tosite sigure,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,23,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/048. TK from Ling tosite sigure - unravel (Neuro.v2).mp3,cd7c98734f13e031,v2;neuro;,,,2
269,Let You Down,Dawid Podsiadło,Let You Down,Dawid Podsiado,Neuro [v2],2023-06-08,Neuro [v2] 2023-06-08 Karaoke,24,,songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/049. Dawid Podsiadło - Let You Down (Neuro.v2).mp3,fab8e05d41493bfc,v2;neuro;,,,2
270,Goddess,"Cepheid, Nonon",Goddess,"Cepheid, Nonon",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,1,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/001. Cepheid, Nonon - Goddess (Neuro.v3).mp3",fa9d3ef185986ce2,v3;neuro;,,,3
271,world.execute(me);,Mili,world.execute(me);,Mili,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,2,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/002. Mili - world.execute(me); (Neuro.v3).mp3,715207a27d1e8ae5,v3;neuro;,,,3
272,After Dark,Mr.Kitty,After Dark,Mr.Kitty,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,3,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/003. Mr.Kitty - After Dark (Neuro.v3).mp3,4b16aeaf049acd04,v3;neuro;,,,3
273,Bad Apple!!,"Alstroemeria Records, nomico",Bad Apple!!,"Alstroemeria Records, nomico",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,4,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/004. Alstroemeria Records, nomico - Bad Apple!! (Neuro.v3).mp3",b5278f11cf36df2d,v3;neuro;,,,3
274,All Star,Smash Mouth,All Star,Smash Mouth,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,5,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/005. Smash Mouth - All Star (Neuro.v3).mp3,9f08958ec92ad213,v3;neuro;,,,3
275,The Phoenix,Fall Out Boy,The Phoenix,Fall Out Boy,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,6,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/006. Fall Out Boy - The Phoenix (Neuro.v3).mp3,01620e63921b0caa,v3;neuro;,,,3
276,I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",I Really Want to Stay at Your House,"Rosa Walton, Hallie Coggins",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,7,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/007. Rosa Walton, Hallie Coggins - I Really Want to Stay at Your House (Neuro.v3).mp3",658143915b77ae2d,v3;neuro;,,,3
277,Digital Girl,KIRA,Digital Girl,KIRA,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,8,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/008. KIRA - Digital Girl (Neuro.v3).mp3,a09426db8bf02159,v3;neuro;,,,3
278,Discord,The Living Tombstone,Discord,The Living Tombstone,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,9,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/009. The Living Tombstone - Discord (Neuro.v3).mp3,7276ebb4aea60098,v3;neuro;,,,3
279,Eye of the Tiger,Survivor,Eye of the Tiger,Survivor,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,10,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/010. Survivor - Eye of the Tiger (Neuro.v3).mp3,0dfca77cbe662933,v3;neuro;,,,3
280,Human,Rag'n'Bone Man,Human,RagnBone Man,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,11,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/011. Rag'n'Bone Man - Human (Neuro.v3).mp3,b9a34d4244dbb0bc,v3;neuro;,,,3
281,吹っ切れた (Fukkireta),LamazeP,Fukkireta,LamazeP,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,12,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/012. LamazeP - 吹っ切れた (Fukkireta) (Neuro.v3).mp3,01092966955d7d61,v3;neuro;,,,3
282,Ocean Man,Ween,Ocean Man,Ween,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,13,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/013. Ween - Ocean Man (Neuro.v3).mp3,afc3f0cb9aefe9f4,v3;neuro;,,,3
283,Radioactive,Imagine Dragons,Radioactive,Imagine Dragons,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,14,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/014. Imagine Dragons - Radioactive (Neuro.v3).mp3,8affebf09be1497d,v3;neuro;,,,3
284,24時間シンデレラ (24-hour Cinderella),"ZENTA, Ryosuke Horii",24-hour Cinderella,"ZENTA, Ryosuke Horii",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,15,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/015. ZENTA, Ryosuke Horii - 24時間シンデレラ (24-hour Cinderella) (Neuro.v3).mp3",cf4bb3097b2b398c,v3;neuro;,,,3
285,Snow halation,μ's,Snow halation,muse,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,16,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/016. μ's - Snow halation (Neuro.v3).mp3,1e7326170d0b5fb8,v3;neuro;christmas;,,,3
286,テオ (Teo),Omoi,Teo,Omoi,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,17,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/017. Omoi - テオ (Teo) (Neuro.v3).mp3,684bc83575f4f926,v3;neuro;,,,3
287,どりーみんチュチュ (Dreamin Chuchu),emon(Tes.),Dreamin Chuchu,emonTes.,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,18,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/018. emon(Tes.) - どりーみんチュチュ (Dreamin Chuchu) (Neuro.v3).mp3,477b242a7ede9ea0,v3;neuro;,,,3
288,The Disappearance of Hatsune Miku,cosMo,The Disappearance of Hatsune Miku,cosMo,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,19,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/019. cosMo - The Disappearance of Hatsune Miku (Neuro.v3).mp3,03c0177a78b84f81,v3;neuro;,,,3
289,ベノム (Venom),Kairiki Bear,Venom,Kairiki Bear,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,20,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/020. Kairiki Bear - ベノム (Venom) (Neuro.v3).mp3,11331a13a01c67f7,v3;neuro;,,,3
290,ワールドイズマイン (World is Mine),supercell,World is Mine,supercell,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,21,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/021. supercell - ワールドイズマイン (World is Mine) (Neuro.v3).mp3,a8878488d5c73d65,v3;neuro;,,,3
291,Bury the Light,"Casey Edwards, Victor Borba",Bury the Light,"Casey Edwards, Victor Borba",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,22,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/022. Casey Edwards, Victor Borba - Bury the Light (Neuro.v3).mp3",eceb965346e84041,v3;neuro;,,,3
292,The Sound of Silence,Disturbed,The Sound of Silence,Disturbed,Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,23,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/023. Disturbed - The Sound of Silence (Neuro.v3).mp3,1e281c58ca34ff26,v3;neuro;,,,3
293,Goddess - Encore,"Cepheid, Nonon",Goddess - Encore,"Cepheid, Nonon",Neuro,2023-06-21,Neuro 2023-06-21 Karaoke,24,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/001. Cepheid, Nonon - Goddess (Neuro.v3).mp3",fa9d3ef185986ce2,v3;neuro;duplicate;encore;,,,
294,Goddess,"Cepheid, Nonon",Goddess,"Cepheid, Nonon",Neuro [v2],2023-06-21,Unused Covers,1,,"songs/unofficialV3/DISC 2 - A Small Upgrade (2023-05-27 - 2023-06-21)/050. Cepheid, Nonon - Goddess (Neuro.v2).mp3",ef2d102634eddbca,v2;neuro;unused;,,,2
295,Public Static Void,Study-sama,Public Static Void,Study-sama,Study-sama,2023-06-22,Neuro-sama ARG,7,study,songs/unofficialV3/Extra Content/DISC 66 - ARG/07. Public Static Void.mp3,7e68f81308e8d8bf,arg;,,,66
296,I See the Light,"Mandy Moore, Zachary Levi",I See the Light,"Mandy Moore, Zachary Levi",Neuro & Miyune,2023-06-22,Stream Covers,1,I see the light,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/024. Mandy Moore, Zachary Levi - I See the Light (Duet.v1) (Neuro & Miyune).mp3",9c225276244be3ee,v3;neuro;collab;,,,1
297,Believer,Imagine Dragons,Believer,Imagine Dragons,Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,1,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/025. Imagine Dragons - Believer (Neuro.v3).mp3,d658a6e7c6deea4b,v3;neuro;,,,3
298,勇者 (Hero),YOASOBI,Hero,YOASOBI,Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,2,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/026. YOASOBI - 勇者 (Hero) (Neuro.v3).mp3,7180090d22b210d5,v3;neuro;,,,3
299,Revenge,"TryHardNinja, CaptainSparklez",Revenge,"TryHardNinja, CaptainSparklez",Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,3,Minecraft,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/027. TryHardNinja, CaptainSparklez - Revenge (Neuro.v3).mp3",63298ccb6941ff1f,v3;neuro;,,,3
300,Still Alive,"Jonathan Coulton, Ellen McLain",Still Alive,"Jonathan Coulton, Ellen McLain",Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,4,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/028. Jonathan Coulton, Ellen McLain - Still Alive (Neuro.v3).mp3",258c37e6fe6cc977,v3;neuro;,,,3
301,いけないボーダーライン (Ikenai Borderline),Walküre,Ikenai Borderline,Walkure,Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,5,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/029. Walküre - いけないボーダーライン (Ikenai Borderline) (Neuro.v3).mp3,17d49fa691be1e46,v3;neuro;,,,3
302,あなぐらぐらし (Hole-dwelling),Kikuo,Hole-dwelling,Kikuo,Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,6,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/030. Kikuo - あなぐらぐらし (Hole-dwelling) (Neuro.v3).mp3,31a411007f54f021,v3;neuro;,,,3
303,Your Reality,"Dan Salvato, Jillian Ashcraft",Your Reality,"Dan Salvato, Jillian Ashcraft",Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,7,,"songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/031. Dan Salvato, Jillian Ashcraft - Your Reality (Neuro.v3).mp3",2bd5ef9d45ac8bdf,v3;neuro;,,,3
304,うっせぇわ (Usseewa),Ado,Usseewa,Ado,Neuro,2023-07-05,Neuro 2023-07-05 Karaoke,8,,songs/unofficialV3/DISC 3 - The Gold Standard (2023-06-21 - 2023-12-06)/032. Ado - うっせぇわ (Usseewa) (Neuro.v3).mp3,1d2d447514be34df,v3;neuro;,,,3
